"Success_of_Movie","actor1","actor2","country","director","genre","id","language","released","runtime","writer"
"Success","Rubens Correia","Ivan de Albuquerque","Brazil","Walter Lima Jr.","Drama","tt0066853","Portuguese",2016,68,"Walter Lima Jr."
"Success","Allen Garfield","Zack Norman","USA","Neil Cohen","Comedy","tt0094859","English",2016,74,"Neil Cohen"
"Success","Tetta Sugimoto","Tomoko Yamaguchi","Japan","Junji Sakamoto","Comedy","tt0115686","Japanese",2008,100,"Junji Sakamoto"
"Success","Ian Hart","Claudia Wells","USA","Halfdan Hussey","Drama","tt0117743","English",2008,83,"Halfdan Hussey"
"Failure","Ally Sheedy","Brian O'Halloran","USA","Keith Spiegel","Comedy","tt0119231","English",2007,82,"Keith Spiegel"
"Success","Corin Nemec","Bruce Weitz","India","Chris LaMont","Comedy","tt0119970","English","N/A",82,"Craig Belanger"
"Success","João Bénard da Costa","N/A","Portugal","Manuel Mozos","Documentary","tt0128997","Portuguese","N/A",55,"N/A"
"Success","Calista Carradine","David Carradine","USA","David Carradine","Drama","tt0133957","English",2016,"N/A","N/A"
"Failure","Stephanie Beacham","Ria Coyne","USA","Don E. FauntLeRoy","Comedy","tt0136517","English",2006,88,"Ria Coyne"
"Success","Tamás Ravasz","János Derzsi","Hungary","Viktor Oszkar Nagy","Drama","tt0143558","Hungarian",2009,85,"Viktor Oszkar Nagy"
"Failure","Trudi Jo Marie Keck","Gerald Brodin","USA","Ted Newsom","Crime","tt0144280","English",2006,90,"Ted Newsom"
"Success","Éva Gábor","István Znamenák","Hungary","Ágnes Kocsis","Drama","tt0146592","Hungarian",2011,136,"Ágnes Kocsis"
"Success","Barnabás Tóth","Zoltán Bezerédy","Hungary","Barnabás Tóth","Comedy","tt0153140","Hungarian",2009,93,"Barnabás Tóth"
"Failure","Daniel Olbrychski","Kornél Mundruczó","Hungary","Miklós Jancsó","History","tt0154039","Hungarian",2010,100,"Miklós Jancsó"
"Success","Sam Waterston","Len Cariou","USA","John Mulholland","Documentary","tt0159369","English",2013,120,"John Mulholland"
"Success","Zoltán Rátóti","Yu Debin","Hungary","Bence Miklauzic","Drama","tt0162942","Hungarian",2011,89,"Balázs Maruszki"
